model,overall_top,overall_con,same_top,same_con,cross_top,cross_con
Qwen3-VL-8B-Instruct,0.985,0.9617,0.9881,0.9712,0.9834,0.9569
InternVL3.5-14B,0.9784,0.9359,0.9803,0.9433,0.9775,0.9321
InternVL3.5-30B-A3B,0.9771,0.9367,0.9779,0.9413,0.9767,0.9344
Qwen3-VL-30B-A3B-Instruct,0.9707,0.948,0.9846,0.9715,0.9637,0.9362
gemma_3-27B-IT,0.9654,0.8437,0.9655,0.8504,0.9654,0.8403
gpt-5.2,0.9602,0.9283,0.9739,0.9487,0.9534,0.9181
ministral_3-14B-Instruct,0.9566,0.9067,0.9577,0.9146,0.956,0.9028
gemma_3-12B-IT,0.942,0.79,0.9406,0.7933,0.9427,0.7884
SmolVLM2-2.2B-Instruct,0.7921,0.6719,0.782,0.6665,0.7965,0.6743
gemini-3-flash-preview,0.6975,0.6877,0.5466,0.5413,0.773,0.7608
table-llava-v1.5-7b-hf,0.666,0.3469,0.6677,0.3491,0.6652,0.3458
llava_1.6-vicuna-13B,0.5627,0.3849,0.5706,0.3961,0.5587,0.3794
llava_1.6-vicuna-7B,0.4568,0.2882,0.4384,0.2793,0.466,0.2926
