pipeline,model,format,task,correct,total,accuracy_pct
VLM,InternVL3.5-14B,html,table_partition,222,629,35.3
VLM,InternVL3.5-14B,html,table_first_cell,546,629,86.8
VLM,InternVL3.5-14B,html,table_last_cell,430,629,68.4
VLM,InternVL3.5-14B,html,size_detection,140,629,22.3
VLM,InternVL3.5-14B,html,number_of_rows,348,629,55.3
VLM,InternVL3.5-14B,html,number_of_columns,565,629,89.8
VLM,InternVL3.5-14B,html,cell_lookup,98,629,15.6
VLM,InternVL3.5-14B,html,reverse_lookup,99,629,15.7
VLM,InternVL3.5-14B,html,column_retrieval,532,629,84.6
VLM,InternVL3.5-14B,html,row_retrieval,26,629,4.1
VLM,InternVL3.5-14B,html,OVERALL,3006,6290,47.8
VLM,InternVL3.5-14B,markdown,table_partition,199,629,31.6
VLM,InternVL3.5-14B,markdown,table_first_cell,522,629,83.0
VLM,InternVL3.5-14B,markdown,table_last_cell,411,629,65.3
VLM,InternVL3.5-14B,markdown,size_detection,203,629,32.3
VLM,InternVL3.5-14B,markdown,number_of_rows,321,629,51.0
VLM,InternVL3.5-14B,markdown,number_of_columns,545,629,86.6
VLM,InternVL3.5-14B,markdown,cell_lookup,128,629,20.3
VLM,InternVL3.5-14B,markdown,reverse_lookup,148,629,23.5
VLM,InternVL3.5-14B,markdown,column_retrieval,559,629,88.9
VLM,InternVL3.5-14B,markdown,row_retrieval,34,629,5.4
VLM,InternVL3.5-14B,markdown,OVERALL,3070,6290,48.8
VLM,InternVL3.5-14B,latex,table_partition,239,629,38.0
VLM,InternVL3.5-14B,latex,table_first_cell,557,629,88.6
VLM,InternVL3.5-14B,latex,table_last_cell,452,629,71.9
VLM,InternVL3.5-14B,latex,size_detection,103,629,16.4
VLM,InternVL3.5-14B,latex,number_of_rows,180,629,28.6
VLM,InternVL3.5-14B,latex,number_of_columns,523,629,83.1
VLM,InternVL3.5-14B,latex,cell_lookup,119,629,18.9
VLM,InternVL3.5-14B,latex,reverse_lookup,143,629,22.7
VLM,InternVL3.5-14B,latex,column_retrieval,567,629,90.1
VLM,InternVL3.5-14B,latex,row_retrieval,40,629,6.4
VLM,InternVL3.5-14B,latex,OVERALL,2923,6290,46.5
VLM,InternVL3.5-30B-A3B,html,table_partition,0,629,0.0
VLM,InternVL3.5-30B-A3B,html,table_first_cell,559,629,88.9
VLM,InternVL3.5-30B-A3B,html,table_last_cell,497,629,79.0
VLM,InternVL3.5-30B-A3B,html,size_detection,55,629,8.7
VLM,InternVL3.5-30B-A3B,html,number_of_rows,251,629,39.9
VLM,InternVL3.5-30B-A3B,html,number_of_columns,557,629,88.6
VLM,InternVL3.5-30B-A3B,html,cell_lookup,112,629,17.8
VLM,InternVL3.5-30B-A3B,html,reverse_lookup,58,629,9.2
VLM,InternVL3.5-30B-A3B,html,column_retrieval,338,629,53.7
VLM,InternVL3.5-30B-A3B,html,row_retrieval,14,629,2.2
VLM,InternVL3.5-30B-A3B,html,OVERALL,2441,6290,38.8
VLM,InternVL3.5-30B-A3B,markdown,table_partition,0,629,0.0
VLM,InternVL3.5-30B-A3B,markdown,table_first_cell,534,629,84.9
VLM,InternVL3.5-30B-A3B,markdown,table_last_cell,481,629,76.5
VLM,InternVL3.5-30B-A3B,markdown,size_detection,158,629,25.1
VLM,InternVL3.5-30B-A3B,markdown,number_of_rows,353,629,56.1
VLM,InternVL3.5-30B-A3B,markdown,number_of_columns,538,629,85.5
VLM,InternVL3.5-30B-A3B,markdown,cell_lookup,154,629,24.5
VLM,InternVL3.5-30B-A3B,markdown,reverse_lookup,82,629,13.0
VLM,InternVL3.5-30B-A3B,markdown,column_retrieval,408,629,64.9
VLM,InternVL3.5-30B-A3B,markdown,row_retrieval,28,629,4.5
VLM,InternVL3.5-30B-A3B,markdown,OVERALL,2736,6290,43.5
VLM,InternVL3.5-30B-A3B,latex,table_partition,0,629,0.0
