model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
Qwen2.5-7B-Instruct,html,16.5,93.8,56.4,33.5,52.3,80.0,25.4,13.8,74.9,5.1,45.2
Qwen2.5-7B-Instruct,markdown,5.7,54.8,52.8,17.6,62.5,43.7,8.1,9.1,52.1,2.9,30.9
Qwen2.5-7B-Instruct,latex,9.9,43.9,53.7,34.2,34.3,99.0,7.3,4.9,60.9,4.5,35.3
Qwen3-30B-A3B-Instruct-2507,html,44.0,93.5,67.2,72.2,81.1,89.8,45.0,24.6,81.2,3.8,60.3
Qwen3-30B-A3B-Instruct-2507,markdown,22.9,82.7,55.0,57.6,75.5,44.4,29.3,9.1,62.8,1.3,44.0
Qwen3-30B-A3B-Instruct-2507,latex,25.1,90.1,59.9,45.5,51.2,85.4,28.3,9.1,66.1,1.7,46.2
TAMA-QWen3,html,0.0,0.0,0.0,1.4,6.7,23.8,17.3,0.0,0.0,0.0,4.9
TAMA-QWen3,markdown,0.0,0.0,0.0,0.0,3.3,13.8,7.6,0.0,0.0,0.0,2.5
TAMA-QWen3,latex,0.0,0.0,0.0,0.8,1.3,29.6,8.9,0.0,0.0,0.0,4.1
TableGPT2-7B,html,20.0,93.0,66.9,44.0,49.0,78.7,13.5,12.4,66.0,4.6,44.8
TableGPT2-7B,markdown,5.1,66.5,56.6,40.2,67.6,51.0,6.7,9.1,48.6,3.0,35.4
TableGPT2-7B,latex,17.3,88.6,67.2,40.1,40.5,99.2,6.2,7.2,56.8,5.4,42.8
