pipeline,model,question_category,html_acc,latex_acc,markdown_acc,avg_acc
VLM,InternVL3.5-14B,Aggregation / Counting / Arithmetic,28.00,33.00,27.00,29.33
VLM,InternVL3.5-14B,Comparison & Extremum,57.00,57.00,57.00,57.00
VLM,InternVL3.5-14B,Conditional Lookup,37.00,38.00,33.00,36.00
VLM,InternVL3.5-14B,Multi-Item Lookup,26.00,23.00,27.00,25.33
VLM,InternVL3.5-14B,Multi-hop Binary Verification,64.00,67.00,63.00,64.67
VLM,InternVL3.5-14B,Simple Lookup,52.00,48.00,49.00,49.67
VLM,InternVL3.5-14B,Single-step Binary Verification,76.00,71.00,80.00,75.67
VLM,InternVL3.5-30B-A3B,Aggregation / Counting / Arithmetic,32.00,30.00,37.00,33.00
VLM,InternVL3.5-30B-A3B,Comparison & Extremum,49.00,58.00,51.00,52.67
VLM,InternVL3.5-30B-A3B,Conditional Lookup,37.00,37.00,39.00,37.67
VLM,InternVL3.5-30B-A3B,Multi-Item Lookup,22.00,18.00,15.00,18.33
VLM,InternVL3.5-30B-A3B,Multi-hop Binary Verification,69.00,79.00,74.00,74.00
VLM,InternVL3.5-30B-A3B,Simple Lookup,52.00,53.00,50.00,51.67
VLM,InternVL3.5-30B-A3B,Single-step Binary Verification,74.00,75.00,72.00,73.67
VLM,Qwen3-VL-30B-A3B-Instruct,Aggregation / Counting / Arithmetic,23.00,20.00,21.00,21.33
VLM,Qwen3-VL-30B-A3B-Instruct,Comparison & Extremum,54.00,54.00,48.00,52.00
VLM,Qwen3-VL-30B-A3B-Instruct,Conditional Lookup,22.00,28.00,21.00,23.67
VLM,Qwen3-VL-30B-A3B-Instruct,Multi-Item Lookup,21.00,24.00,26.00,23.67
VLM,Qwen3-VL-30B-A3B-Instruct,Multi-hop Binary Verification,56.00,58.00,56.00,56.67
VLM,Qwen3-VL-30B-A3B-Instruct,Simple Lookup,48.00,48.00,50.00,48.67
VLM,Qwen3-VL-30B-A3B-Instruct,Single-step Binary Verification,64.00,63.00,68.00,65.00
VLM,Qwen3-VL-8B-Instruct,Aggregation / Counting / Arithmetic,33.00,32.00,30.00,31.67
VLM,Qwen3-VL-8B-Instruct,Comparison & Extremum,45.00,50.00,49.00,48.00
VLM,Qwen3-VL-8B-Instruct,Conditional Lookup,35.00,38.00,33.00,35.33
VLM,Qwen3-VL-8B-Instruct,Multi-Item Lookup,39.00,35.00,38.00,37.33
VLM,Qwen3-VL-8B-Instruct,Multi-hop Binary Verification,69.00,66.00,69.00,68.00
VLM,Qwen3-VL-8B-Instruct,Simple Lookup,59.00,57.00,58.00,58.00
VLM,Qwen3-VL-8B-Instruct,Single-step Binary Verification,72.00,67.00,71.00,70.00
VLM,Qwen3.5-27B,Aggregation / Counting / Arithmetic,,,,
VLM,Qwen3.5-27B,Comparison & Extremum,,,,
VLM,Qwen3.5-27B,Conditional Lookup,,,,
VLM,Qwen3.5-27B,Multi-Item Lookup,,,,
VLM,Qwen3.5-27B,Multi-hop Binary Verification,,,,
VLM,Qwen3.5-27B,Simple Lookup,,,,
VLM,Qwen3.5-27B,Single-step Binary Verification,,,,
VLM,SmolVLM2-2.2B-Instruct,Aggregation / Counting / Arithmetic,19.00,15.00,18.00,17.33
VLM,SmolVLM2-2.2B-Instruct,Comparison & Extremum,22.00,27.00,28.00,25.67
VLM,SmolVLM2-2.2B-Instruct,Conditional Lookup,23.00,21.00,17.00,20.33
VLM,SmolVLM2-2.2B-Instruct,Multi-Item Lookup,15.00,18.00,5.00,12.67
VLM,SmolVLM2-2.2B-Instruct,Multi-hop Binary Verification,45.00,44.00,42.00,43.67
VLM,SmolVLM2-2.2B-Instruct,Simple Lookup,44.00,37.00,34.00,38.33
VLM,SmolVLM2-2.2B-Instruct,Single-step Binary Verification,40.00,39.00,37.00,38.67
VLM,gemini-3-flash-preview,Aggregation / Counting / Arithmetic,63.00,62.63,64.00,63.21
VLM,gemini-3-flash-preview,Comparison & Extremum,72.00,72.00,72.00,72.00
VLM,gemini-3-flash-preview,Conditional Lookup,74.00,75.00,75.00,74.67
VLM,gemini-3-flash-preview,Multi-Item Lookup,50.00,49.00,50.00,49.67
VLM,gemini-3-flash-preview,Multi-hop Binary Verification,65.00,67.00,66.00,66.00
VLM,gemini-3-flash-preview,Simple Lookup,67.00,64.29,68.00,66.43
VLM,gemini-3-flash-preview,Single-step Binary Verification,67.00,66.00,63.00,65.33
VLM,gemma_3-12B-IT,Aggregation / Counting / Arithmetic,24.00,25.00,23.00,24.00
VLM,gemma_3-12B-IT,Comparison & Extremum,35.00,35.00,36.00,35.33
VLM,gemma_3-12B-IT,Conditional Lookup,27.00,19.00,26.00,24.00
VLM,gemma_3-12B-IT,Multi-Item Lookup,17.00,19.00,17.00,17.67
VLM,gemma_3-12B-IT,Multi-hop Binary Verification,65.00,66.00,66.00,65.67
VLM,gemma_3-12B-IT,Simple Lookup,44.00,43.00,41.00,42.67
VLM,gemma_3-12B-IT,Single-step Binary Verification,60.00,70.00,61.00,63.67
VLM,gemma_3-27B-IT,Aggregation / Counting / Arithmetic,27.00,32.00,28.00,29.00
VLM,gemma_3-27B-IT,Comparison & Extremum,42.00,36.00,39.00,39.00
VLM,gemma_3-27B-IT,Conditional Lookup,28.00,33.00,34.00,31.67
VLM,gemma_3-27B-IT,Multi-Item Lookup,27.00,23.00,29.00,26.33
VLM,gemma_3-27B-IT,Multi-hop Binary Verification,73.00,68.00,75.00,72.00
VLM,gemma_3-27B-IT,Simple Lookup,53.00,53.00,45.00,50.33
VLM,gemma_3-27B-IT,Single-step Binary Verification,73.00,72.00,68.00,71.00
