pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,usable_rate,grits_top_valid_only,grits_con_valid_only,grits_top_zero_pen,grits_con_zero_pen,count
VLM,InternVL3.5-14B,wikitq,html,html,0.9594,0.8989,0.9865,0.9524,0.9124,0.8957,1.0,0.9594,0.8989,0.9594,0.8989,179
VLM,InternVL3.5-14B,hybridqa,html,html,0.9974,0.961,0.9965,0.9986,0.9603,0.9619,1.0,0.9974,0.961,0.9974,0.961,148
VLM,InternVL3.5-14B,sqa,html,html,0.9972,0.9861,1.0,0.9956,0.9887,0.9847,1.0,0.9972,0.9861,0.9972,0.9861,102
VLM,InternVL3.5-14B,tabfact,html,html,1.0,0.9815,1.0,1.0,0.9815,0.9815,1.0,1.0,0.9815,1.0,0.9815,124
VLM,InternVL3.5-14B,feverous,html,html,0.9958,0.9542,0.9973,0.9951,0.9542,0.9545,1.0,0.9958,0.9542,0.9958,0.9542,76
VLM,InternVL3.5-14B,wikitq,html,markdown,0.9703,0.8989,0.9929,0.967,0.9041,0.8983,0.9944,0.9754,0.904,0.9699,0.8989,179
VLM,InternVL3.5-14B,hybridqa,html,markdown,0.994,0.9544,1.0,0.993,0.9604,0.9535,0.9932,0.9995,0.9597,0.9927,0.9532,148
VLM,InternVL3.5-14B,sqa,html,markdown,0.9969,0.9587,0.9995,0.9956,0.961,0.9576,1.0,0.9969,0.9587,0.9969,0.9587,102
VLM,InternVL3.5-14B,tabfact,html,markdown,1.0,0.9694,1.0,1.0,0.9694,0.9694,1.0,1.0,0.9694,1.0,0.9694,124
VLM,InternVL3.5-14B,feverous,html,markdown,0.9886,0.9464,1.0,0.9877,0.9578,0.9455,0.9868,1.0,0.9572,0.9868,0.9446,76
VLM,InternVL3.5-14B,wikitq,html,latex,0.8644,0.8286,0.9138,0.8448,0.8673,0.8122,0.8547,0.9315,0.8988,0.7962,0.7683,179
VLM,InternVL3.5-14B,hybridqa,html,latex,0.9977,0.9579,0.997,0.9989,0.9572,0.959,0.9257,0.9984,0.9673,0.9242,0.8954,148
VLM,InternVL3.5-14B,sqa,html,latex,0.9814,0.9606,0.9768,0.9902,0.9569,0.967,0.951,0.9919,0.9761,0.9433,0.9282,102
VLM,InternVL3.5-14B,tabfact,html,latex,0.9977,0.9741,0.9957,1.0,0.9723,0.9763,0.9355,0.9986,0.9773,0.9342,0.9143,124
VLM,InternVL3.5-14B,feverous,html,latex,0.9842,0.9346,0.9761,0.9979,0.9286,0.9445,0.8947,0.9923,0.9554,0.8879,0.8549,76
VLM,InternVL3.5-14B,wikitq,markdown,html,0.9738,0.8902,0.9969,0.9664,0.8996,0.8868,1.0,0.9738,0.8902,0.9738,0.8902,179
VLM,InternVL3.5-14B,hybridqa,markdown,html,0.9991,0.937,0.9999,0.9984,0.9374,0.9367,1.0,0.9991,0.937,0.9991,0.937,148
VLM,InternVL3.5-14B,sqa,markdown,html,0.9994,0.9279,0.9989,1.0,0.9275,0.9282,1.0,0.9994,0.9279,0.9994,0.9279,102
VLM,InternVL3.5-14B,tabfact,markdown,html,1.0,0.9762,1.0,1.0,0.9762,0.9762,1.0,1.0,0.9762,1.0,0.9762,124
VLM,InternVL3.5-14B,feverous,markdown,html,0.9893,0.9356,0.9895,0.992,0.9377,0.9337,1.0,0.9893,0.9356,0.9893,0.9356,76
VLM,InternVL3.5-14B,wikitq,markdown,markdown,0.97,0.8991,0.9871,0.9724,0.9062,0.8996,0.9944,0.9746,0.9032,0.9691,0.8982,179
VLM,InternVL3.5-14B,hybridqa,markdown,markdown,0.9865,0.9234,0.9997,0.9849,0.9362,0.9222,0.9865,0.9986,0.9347,0.9851,0.922,148
VLM,InternVL3.5-14B,sqa,markdown,markdown,0.9924,0.9481,0.9914,1.0,0.948,0.9487,1.0,0.9924,0.9481,0.9924,0.9481,102
VLM,InternVL3.5-14B,tabfact,markdown,markdown,1.0,0.9654,1.0,1.0,0.9654,0.9654,1.0,1.0,0.9654,1.0,0.9654,124
VLM,InternVL3.5-14B,feverous,markdown,markdown,0.9809,0.9361,0.9934,0.9792,0.9485,0.9345,0.9868,0.9922,0.9468,0.9792,0.9344,76
VLM,InternVL3.5-14B,wikitq,markdown,latex,0.8764,0.8334,0.9267,0.8524,0.877,0.8129,0.8101,0.9375,0.8993,0.7594,0.7285,179
VLM,InternVL3.5-14B,hybridqa,markdown,latex,0.9957,0.9375,1.0,0.9921,0.9409,0.9347,0.9189,0.9963,0.9465,0.9155,0.8698,148
VLM,InternVL3.5-14B,sqa,markdown,latex,0.9886,0.9285,0.9874,0.9902,0.9277,0.9296,0.951,1.0,0.9408,0.951,0.8947,102
VLM,InternVL3.5-14B,tabfact,markdown,latex,0.9981,0.9693,0.9975,0.999,0.9686,0.9702,0.9274,0.9994,0.976,0.9269,0.9052,124
VLM,InternVL3.5-14B,feverous,markdown,latex,0.9891,0.9398,0.9885,0.9927,0.9404,0.9406,0.8684,0.9898,0.9476,0.8596,0.8229,76
VLM,InternVL3.5-14B,wikitq,latex,html,0.8986,0.838,0.8974,0.9372,0.8279,0.87,1.0,0.8986,0.838,0.8986,0.838,179
VLM,InternVL3.5-14B,hybridqa,latex,html,0.9893,0.9471,0.9863,0.9935,0.9444,0.9508,1.0,0.9893,0.9471,0.9893,0.9471,148
VLM,InternVL3.5-14B,sqa,latex,html,0.9979,0.9802,0.996,1.0,0.9784,0.9823,1.0,0.9979,0.9802,0.9979,0.9802,102
VLM,InternVL3.5-14B,tabfact,latex,html,0.9978,0.9809,0.9971,0.9987,0.9803,0.9816,1.0,0.9978,0.9809,0.9978,0.9809,124
VLM,InternVL3.5-14B,feverous,latex,html,0.9731,0.944,0.9643,0.9881,0.9357,0.9564,1.0,0.9731,0.944,0.9731,0.944,76
VLM,InternVL3.5-14B,wikitq,latex,markdown,0.9293,0.8475,0.9289,0.9627,0.8388,0.8722,1.0,0.9293,0.8475,0.9293,0.8475,179
VLM,InternVL3.5-14B,hybridqa,latex,markdown,0.9742,0.9295,0.9986,0.9732,0.9417,0.9291,0.973,0.9986,0.954,0.9716,0.9282,148
VLM,InternVL3.5-14B,sqa,latex,markdown,1.0,0.949,1.0,1.0,0.949,0.949,1.0,1.0,0.949,1.0,0.949,102
