model,html->html_top,html->md_top,html->ltx_top,md->html_top,md->md_top,md->ltx_top,ltx->html_top,ltx->md_top,ltx->ltx_top,html->html_con,html->md_con,html->ltx_con,md->html_con,md->md_con,md->ltx_con,ltx->html_con,ltx->md_con,ltx->ltx_con,html->html_usable_rate,html->md_usable_rate,html->ltx_usable_rate,md->html_usable_rate,md->md_usable_rate,md->ltx_usable_rate,ltx->html_usable_rate,ltx->md_usable_rate,ltx->ltx_usable_rate,html->html_top_valid,html->md_top_valid,html->ltx_top_valid,md->html_top_valid,md->md_top_valid,md->ltx_top_valid,ltx->html_top_valid,ltx->md_top_valid,ltx->ltx_top_valid,html->html_con_valid,html->md_con_valid,html->ltx_con_valid,md->html_con_valid,md->md_con_valid,md->ltx_con_valid,ltx->html_con_valid,ltx->md_con_valid,ltx->ltx_con_valid,html->html_top_zero,html->md_top_zero,html->ltx_top_zero,md->html_top_zero,md->md_top_zero,md->ltx_top_zero,ltx->html_top_zero,ltx->md_top_zero,ltx->ltx_top_zero,html->html_con_zero,html->md_con_zero,html->ltx_con_zero,md->html_con_zero,md->md_con_zero,md->ltx_con_zero,ltx->html_con_zero,ltx->md_con_zero,ltx->ltx_con_zero,OVERALL_top,OVERALL_con,OVERALL_usable_rate,OVERALL_top_valid,OVERALL_con_valid,OVERALL_top_zero,OVERALL_con_zero
InternVL3.5-14B,0.9869,0.9882,0.9555,0.9909,0.9848,0.9603,0.9646,0.971,0.9542,0.9506,0.9413,0.9219,0.9298,0.9303,0.9129,0.9277,0.9149,0.9306,1.0,0.9952,0.9078,1.0,0.9936,0.8887,1.0,0.9921,0.9078,0.9869,0.9924,0.9787,0.9909,0.9903,0.9816,0.9646,0.9778,0.9766,0.9506,0.9453,0.9511,0.9298,0.9355,0.9395,0.9277,0.9219,0.9578,0.9869,0.9876,0.8885,0.9909,0.984,0.8723,0.9646,0.97,0.8866,0.9506,0.9408,0.8634,0.9298,0.9295,0.8349,0.9277,0.9146,0.8695,0.9729,0.9289,0.965,0.9823,0.9396,0.9479,0.9068
InternVL3.5-30B-A3B,0.9828,0.9889,0.9491,0.9887,0.9873,0.9609,0.9647,0.9694,0.9476,0.9508,0.9439,0.9215,0.9337,0.9377,0.9153,0.9269,0.9183,0.9184,1.0,1.0,0.8919,1.0,1.0,0.8808,1.0,0.9968,0.8935,0.9828,0.9889,0.9824,0.9887,0.9873,0.9883,0.9647,0.9718,0.9689,0.9508,0.9439,0.9575,0.9337,0.9377,0.9533,0.9269,0.921,0.9444,0.9828,0.9889,0.8762,0.9887,0.9873,0.8705,0.9647,0.9687,0.8657,0.9508,0.9439,0.854,0.9337,0.9377,0.8397,0.9269,0.9181,0.8438,0.9711,0.9296,0.9626,0.9804,0.9406,0.9437,0.9054
Qwen3-VL-30B-A3B-Instruct,0.9848,0.992,0.8438,0.99,0.9965,0.9699,0.9725,0.9784,0.9608,0.9781,0.9792,0.8043,0.9692,0.9846,0.9324,0.9516,0.9503,0.9489,1.0,1.0,0.7663,1.0,1.0,0.8871,1.0,1.0,0.9539,0.9848,0.992,0.9044,0.99,0.9965,0.9914,0.9725,0.9784,0.9715,0.9781,0.9792,0.8741,0.9692,0.9846,0.9585,0.9516,0.9503,0.9607,0.9848,0.992,0.6931,0.99,0.9965,0.8795,0.9725,0.9784,0.9267,0.9781,0.9792,0.6698,0.9692,0.9846,0.8503,0.9516,0.9503,0.9164,0.9654,0.9443,0.9564,0.9775,0.9584,0.9348,0.9166
Qwen3-VL-8B-Instruct,0.9904,0.9968,0.9536,0.99,0.9956,0.9688,0.9781,0.9827,0.9667,0.9802,0.9822,0.9235,0.9696,0.9817,0.9307,0.9543,0.9542,0.9457,1.0,1.0,0.8824,1.0,1.0,0.868,1.0,1.0,0.9459,0.9904,0.9968,0.9829,0.99,0.9956,0.9958,0.9781,0.9827,0.9759,0.9802,0.9822,0.9576,0.9696,0.9817,0.9648,0.9543,0.9542,0.9576,0.9904,0.9968,0.8672,0.99,0.9956,0.8644,0.9781,0.9827,0.9232,0.9802,0.9822,0.845,0.9696,0.9817,0.8375,0.9543,0.9542,0.9058,0.9803,0.958,0.9663,0.9876,0.9671,0.9543,0.9345
SmolVLM2-2.2B-Instruct,0.8704,0.864,0.8061,0.6613,0.7881,0.7834,0.7898,0.8501,0.5654,0.7405,0.7395,0.6877,0.5742,0.6827,0.6769,0.6553,0.6895,0.466,0.9682,0.9014,0.3498,0.7536,0.8124,0.372,0.9221,0.9199,0.6,0.899,0.9424,0.889,0.8775,0.9322,0.8108,0.8565,0.9025,0.9423,0.7648,0.8081,0.7712,0.7619,0.8121,0.6975,0.7106,0.7342,0.7766,0.8704,0.8495,0.311,0.6613,0.7574,0.3016,0.7898,0.8302,0.5654,0.7405,0.7284,0.2697,0.5742,0.6598,0.2595,0.6553,0.6754,0.466,0.7989,0.6801,0.7412,0.8949,0.7622,0.6633,0.5649
gemini-3-flash-preview,0.0499,0.9551,0.6454,0.8649,0.9661,0.5099,0.6459,0.9304,0.578,0.0494,0.9411,0.6404,0.8489,0.9557,0.5051,0.632,0.9081,0.5734,0.059,0.9936,0.7647,0.9076,0.9968,0.7981,0.7229,0.992,0.7488,0.8459,0.9612,0.8217,0.9529,0.9689,0.6247,0.8934,0.9346,0.7633,0.8371,0.9472,0.8164,0.9353,0.9585,0.6185,0.8743,0.9139,0.7574,0.0499,0.9551,0.6284,0.8649,0.9658,0.4986,0.6459,0.9272,0.5715,0.0494,0.9411,0.6243,0.8489,0.9555,0.4936,0.632,0.9067,0.5671,0.6829,0.6728,0.7761,0.8745,0.8617,0.6787,0.6688
gemma_3-12B-IT,0.937,0.9497,0.9072,0.9525,0.9596,0.9217,0.941,0.9457,0.9049,0.7907,0.7919,0.7581,0.7982,0.8074,0.7683,0.7777,0.7738,0.7519,1.0,0.9936,0.806,1.0,0.9952,0.8076,1.0,0.9905,0.8029,0.937,0.9531,0.9283,0.9525,0.964,0.9325,0.941,0.9526,0.9211,0.7907,0.7954,0.7842,0.7982,0.8113,0.7843,0.7777,0.7801,0.7693,0.937,0.9471,0.7483,0.9525,0.9594,0.7531,0.941,0.9435,0.7395,0.7907,0.7904,0.6321,0.7982,0.8074,0.6334,0.7777,0.7727,0.6176,0.9355,0.7798,0.9329,0.9435,0.7885,0.8801,0.7356
gemma_3-27B-IT,0.9678,0.9671,0.9381,0.9766,0.9744,0.9449,0.966,0.9605,0.9383,0.8597,0.8453,0.8222,0.8527,0.8495,0.8133,0.8287,0.8179,0.8144,1.0,0.9984,0.8903,1.0,1.0,0.8776,1.0,0.9984,0.8728,0.9678,0.9671,0.9486,0.9766,0.9744,0.9578,0.966,0.9619,0.9503,0.8597,0.8455,0.8421,0.8527,0.8495,0.8416,0.8287,0.8191,0.839,0.9678,0.9655,0.8445,0.9766,0.9744,0.8406,0.966,0.9604,0.8294,0.8597,0.8442,0.7497,0.8527,0.8495,0.7386,0.8287,0.8178,0.7323,0.9593,0.8338,0.9597,0.9638,0.8421,0.925,0.8081
gpt-5.2,0.9805,0.9821,0.8129,0.9835,0.9913,0.9473,0.9782,0.9737,0.9318,0.9671,0.9438,0.7825,0.9561,0.9705,0.907,0.9418,0.9373,0.8928,0.987,1.0,0.9392,0.987,1.0,0.9569,0.9951,1.0,0.976,0.9935,0.9821,0.8326,0.9964,0.9913,0.9542,0.983,0.9737,0.9368,0.9798,0.9438,0.802,0.9687,0.9705,0.9145,0.9465,0.9373,0.897,0.9805,0.9821,0.782,0.9835,0.9913,0.9131,0.9782,0.9737,0.9143,0.9671,0.9438,0.7533,0.9561,0.9705,0.8751,0.9418,0.9373,0.8754,0.9533,0.9219,0.9823,0.9611,0.9296,0.9441,0.9131
llava_1.6-vicuna-13B,0.6615,0.8055,0.2281,0.6229,0.7479,0.2216,0.6492,0.7561,0.2672,0.458,0.5137,0.1494,0.4525,0.5072,0.1495,0.458,0.4949,0.1912,0.9905,0.9046,0.0,0.9316,0.8426,0.0,0.9936,0.8951,0.0111,0.6678,0.8818,,0.6687,0.8753,,0.6534,0.8314,0.9592,0.4624,0.5652,,0.4857,0.5971,,0.4609,0.5469,0.8905,0.6615,0.7977,0.0,0.6229,0.7375,0.0,0.6492,0.7442,0.0107,0.458,0.5113,0.0,0.4525,0.5031,0.0,0.458,0.4895,0.0099,0.5511,0.3749,0.6188,0.7584,0.5175,0.4693,0.3203
llava_1.6-vicuna-7B,0.6989,0.6605,0.0494,0.6996,0.5359,0.0448,0.706,0.5813,0.0521,0.4296,0.3996,0.0234,0.455,0.3518,0.0192,0.4395,0.3686,0.0276,0.9777,0.7647,0.0,0.9936,0.682,0.0,0.9936,0.7297,0.0,0.7148,0.8311,,0.7041,0.7652,,0.7106,0.7789,,0.4394,0.5105,,0.4579,0.506,,0.4423,0.4992,,0.6989,0.6355,0.0,0.6996,0.5219,0.0,0.706,0.5684,0.0,0.4296,0.3904,0.0,0.455,0.3451,0.0,0.4395,0.3643,0.0,0.4476,0.2794,0.5713,0.745,0.4714,0.4256,0.2693
ministral_3-14B-Instruct,0.9797,0.9465,0.9473,0.9755,0.9504,0.9515,0.9481,0.9273,0.9254,0.9403,0.8985,0.9206,0.9158,0.9047,0.9023,0.8694,0.86,0.8755,1.0,0.973,0.8426,1.0,0.9714,0.841,1.0,0.9793,0.8839,0.9797,0.968,0.9863,0.9755,0.9692,0.9873,0.9481,0.942,0.9683,0.9403,0.9206,0.9666,0.9158,0.9266,0.9455,0.8694,0.8774,0.9236,0.9797,0.9418,0.831,0.9755,0.9414,0.8303,0.9481,0.9226,0.8559,0.9403,0.8958,0.8145,0.9158,0.9001,0.7952,0.8694,0.8592,0.8164,0.9502,0.8986,0.9435,0.9688,0.9194,0.914,0.8674
table-llava-v1.5-7b-hf,0.7259,0.705,0.6805,0.7321,0.7227,0.6953,0.5774,0.568,0.5412,0.3298,0.3255,0.3104,0.4257,0.4274,0.4127,0.2877,0.2892,0.278,1.0,0.9603,0.7107,1.0,0.9746,0.7377,0.9968,0.9793,0.7965,0.7259,0.7172,0.7807,0.7321,0.7288,0.7622,0.5792,0.5746,0.6142,0.3298,0.3361,0.3671,0.4257,0.4339,0.4445,0.2886,0.2942,0.3203,0.7259,0.6887,0.5548,0.7321,0.7103,0.5623,0.5774,0.5627,0.4892,0.3298,0.3227,0.2608,0.4257,0.4228,0.3279,0.2877,0.2881,0.2551,0.6609,0.3429,0.9062,0.687,0.3581,0.6226,0.3245
