prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
prompt2,VLM,InternVL3.5-14B,html,table_partition,123,629,19.6,42.1,44.2
prompt2,VLM,InternVL3.5-14B,html,table_first_cell,132,629,21.0,21.0,21.0
prompt2,VLM,InternVL3.5-14B,html,table_last_cell,480,629,76.3,76.2,76.2
prompt2,VLM,InternVL3.5-14B,html,size_detection,140,629,22.3,46.7,48.8
prompt2,VLM,InternVL3.5-14B,html,number_of_rows,346,629,55.0,55.0,55.0
prompt2,VLM,InternVL3.5-14B,html,number_of_columns,565,629,89.8,89.8,89.8
prompt2,VLM,InternVL3.5-14B,html,cell_lookup,0,629,0.0,5.0,5.2
prompt2,VLM,InternVL3.5-14B,html,reverse_lookup,28,629,4.5,4.5,4.5
prompt2,VLM,InternVL3.5-14B,html,column_retrieval,327,629,52.0,52.0,52.0
prompt2,VLM,InternVL3.5-14B,html,row_retrieval,17,629,2.7,15.3,18.6
prompt2,VLM,InternVL3.5-14B,html,OVERALL,2158,6290,34.3,40.7,41.5
prompt2,VLM,InternVL3.5-14B,markdown,table_partition,128,629,20.3,44.9,46.7
prompt2,VLM,InternVL3.5-14B,markdown,table_first_cell,195,629,31.0,31.0,31.0
prompt2,VLM,InternVL3.5-14B,markdown,table_last_cell,471,629,74.9,74.6,74.7
prompt2,VLM,InternVL3.5-14B,markdown,size_detection,204,629,32.4,60.9,61.8
prompt2,VLM,InternVL3.5-14B,markdown,number_of_rows,319,629,50.7,50.7,50.7
prompt2,VLM,InternVL3.5-14B,markdown,number_of_columns,544,629,86.5,86.5,86.5
prompt2,VLM,InternVL3.5-14B,markdown,cell_lookup,1,629,0.2,6.7,6.7
prompt2,VLM,InternVL3.5-14B,markdown,reverse_lookup,32,629,5.1,5.1,5.4
prompt2,VLM,InternVL3.5-14B,markdown,column_retrieval,392,629,62.3,62.3,62.3
prompt2,VLM,InternVL3.5-14B,markdown,row_retrieval,20,629,3.2,15.2,18.4
prompt2,VLM,InternVL3.5-14B,markdown,OVERALL,2306,6290,36.7,43.8,44.4
prompt2,VLM,InternVL3.5-14B,latex,table_partition,88,629,14.0,35.1,36.8
prompt2,VLM,InternVL3.5-14B,latex,table_first_cell,57,629,9.1,9.1,9.1
prompt2,VLM,InternVL3.5-14B,latex,table_last_cell,493,629,78.4,78.4,78.4
prompt2,VLM,InternVL3.5-14B,latex,size_detection,103,629,16.4,52.1,53.3
prompt2,VLM,InternVL3.5-14B,latex,number_of_rows,180,629,28.6,28.6,28.6
prompt2,VLM,InternVL3.5-14B,latex,number_of_columns,523,629,83.1,83.1,83.1
prompt2,VLM,InternVL3.5-14B,latex,cell_lookup,3,629,0.5,7.1,7.3
prompt2,VLM,InternVL3.5-14B,latex,reverse_lookup,31,629,4.9,4.9,5.1
prompt2,VLM,InternVL3.5-14B,latex,column_retrieval,436,629,69.3,69.3,69.3
prompt2,VLM,InternVL3.5-14B,latex,row_retrieval,30,629,4.8,16.2,20.1
prompt2,VLM,InternVL3.5-14B,latex,OVERALL,1944,6290,30.9,38.4,39.1
prompt2,VLM,InternVL3.5-30B-A3B,html,table_partition,0,629,0.0,10.8,18.8
prompt2,VLM,InternVL3.5-30B-A3B,html,table_first_cell,27,629,4.3,4.3,4.3
prompt2,VLM,InternVL3.5-30B-A3B,html,table_last_cell,497,629,79.0,79.0,79.0
prompt2,VLM,InternVL3.5-30B-A3B,html,size_detection,57,629,9.1,54.6,55.3
prompt2,VLM,InternVL3.5-30B-A3B,html,number_of_rows,250,629,39.7,39.7,39.7
prompt2,VLM,InternVL3.5-30B-A3B,html,number_of_columns,561,629,89.2,89.2,89.2
prompt2,VLM,InternVL3.5-30B-A3B,html,cell_lookup,0,629,0.0,6.8,6.8
prompt2,VLM,InternVL3.5-30B-A3B,html,reverse_lookup,20,629,3.2,3.2,3.2
prompt2,VLM,InternVL3.5-30B-A3B,html,column_retrieval,335,629,53.3,53.3,53.4
prompt2,VLM,InternVL3.5-30B-A3B,html,row_retrieval,8,629,1.3,12.9,17.8
prompt2,VLM,InternVL3.5-30B-A3B,html,OVERALL,1755,6290,27.9,35.4,36.8
prompt2,VLM,InternVL3.5-30B-A3B,markdown,table_partition,0,629,0.0,15.3,22.9
prompt2,VLM,InternVL3.5-30B-A3B,markdown,table_first_cell,56,629,8.9,8.9,9.1
prompt2,VLM,InternVL3.5-30B-A3B,markdown,table_last_cell,491,629,78.1,78.1,78.1
prompt2,VLM,InternVL3.5-30B-A3B,markdown,size_detection,175,629,27.8,63.2,63.8
prompt2,VLM,InternVL3.5-30B-A3B,markdown,number_of_rows,351,629,55.8,55.8,55.8
prompt2,VLM,InternVL3.5-30B-A3B,markdown,number_of_columns,542,629,86.2,86.2,86.2
prompt2,VLM,InternVL3.5-30B-A3B,markdown,cell_lookup,0,629,0.0,9.9,9.9
prompt2,VLM,InternVL3.5-30B-A3B,markdown,reverse_lookup,37,629,5.9,5.9,5.9
prompt2,VLM,InternVL3.5-30B-A3B,markdown,column_retrieval,389,629,61.8,61.8,62.0
prompt2,VLM,InternVL3.5-30B-A3B,markdown,row_retrieval,10,629,1.6,14.7,19.9
prompt2,VLM,InternVL3.5-30B-A3B,markdown,OVERALL,2051,6290,32.6,40.0,41.3
prompt2,VLM,InternVL3.5-30B-A3B,latex,table_partition,0,629,0.0,22.1,33.5
prompt2,VLM,InternVL3.5-30B-A3B,latex,table_first_cell,87,629,13.8,13.8,13.8
prompt2,VLM,InternVL3.5-30B-A3B,latex,table_last_cell,512,629,81.4,81.4,81.4
prompt2,VLM,InternVL3.5-30B-A3B,latex,size_detection,77,629,12.2,53.9,54.8
prompt2,VLM,InternVL3.5-30B-A3B,latex,number_of_rows,266,629,42.3,42.3,42.3
prompt2,VLM,InternVL3.5-30B-A3B,latex,number_of_columns,522,629,83.0,83.0,83.0
prompt2,VLM,InternVL3.5-30B-A3B,latex,cell_lookup,0,629,0.0,9.1,9.1
prompt2,VLM,InternVL3.5-30B-A3B,latex,reverse_lookup,38,629,6.0,6.0,6.0
prompt2,VLM,InternVL3.5-30B-A3B,latex,column_retrieval,402,629,63.9,63.9,64.2
prompt2,VLM,InternVL3.5-30B-A3B,latex,row_retrieval,0,629,0.0,13.9,26.9
prompt2,VLM,InternVL3.5-30B-A3B,latex,OVERALL,1904,6290,30.3,39.0,41.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,table_partition,88,629,14.0,40.4,43.2
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,table_first_cell,85,629,13.5,13.5,13.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,table_last_cell,540,629,85.9,85.9,85.9
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,size_detection,212,629,33.7,61.4,62.6
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,number_of_rows,280,629,44.5,44.5,44.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,number_of_columns,579,629,92.1,92.1,92.1
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,cell_lookup,0,629,0.0,12.4,12.4
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,reverse_lookup,83,629,13.2,13.2,13.8
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,column_retrieval,412,629,65.5,65.5,65.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,row_retrieval,7,629,1.1,21.4,28.1
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,html,OVERALL,2286,6290,36.3,45.0,46.2
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,table_partition,16,629,2.5,28.2,30.6
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,table_first_cell,20,629,3.2,3.2,3.2
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,table_last_cell,509,629,80.9,80.9,80.9
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,size_detection,196,629,31.2,63.0,63.9
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,number_of_rows,259,629,41.2,41.2,41.2
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,number_of_columns,551,629,87.6,87.6,87.6
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,cell_lookup,0,629,0.0,21.8,21.8
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,reverse_lookup,100,629,15.9,15.9,16.2
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,column_retrieval,524,629,83.3,83.3,83.3
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,row_retrieval,13,629,2.1,19.9,24.2
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,markdown,OVERALL,2188,6290,34.8,44.5,45.3
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,table_partition,127,629,20.2,42.8,45.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,table_first_cell,110,629,17.5,17.5,17.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,table_last_cell,529,629,84.1,84.1,84.1
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,size_detection,214,629,34.0,63.9,64.9
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,number_of_rows,255,629,40.5,40.5,40.5
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,number_of_columns,553,629,87.9,87.9,87.9
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,cell_lookup,0,629,0.0,14.4,14.4
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,reverse_lookup,114,629,18.1,18.1,18.4
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,column_retrieval,501,629,79.7,79.7,80.0
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,row_retrieval,13,629,2.1,19.5,26.3
prompt2,VLM,Qwen3-VL-30B-A3B-Instruct,latex,OVERALL,2416,6290,38.4,46.8,48.0
prompt2,VLM,Qwen3-VL-8B-Instruct,html,table_partition,26,629,4.1,19.9,23.1
prompt2,VLM,Qwen3-VL-8B-Instruct,html,table_first_cell,187,629,29.7,29.7,29.7
prompt2,VLM,Qwen3-VL-8B-Instruct,html,table_last_cell,506,629,80.4,80.4,80.4
prompt2,VLM,Qwen3-VL-8B-Instruct,html,size_detection,48,629,7.6,41.7,43.0
prompt2,VLM,Qwen3-VL-8B-Instruct,html,number_of_rows,163,629,25.9,25.9,25.9
prompt2,VLM,Qwen3-VL-8B-Instruct,html,number_of_columns,566,629,90.0,90.0,90.0
prompt2,VLM,Qwen3-VL-8B-Instruct,html,cell_lookup,1,629,0.2,7.2,7.2
prompt2,VLM,Qwen3-VL-8B-Instruct,html,reverse_lookup,40,629,6.4,6.4,6.5
prompt2,VLM,Qwen3-VL-8B-Instruct,html,column_retrieval,174,629,27.7,27.7,27.8
prompt2,VLM,Qwen3-VL-8B-Instruct,html,row_retrieval,7,629,1.1,15.8,20.7
prompt2,VLM,Qwen3-VL-8B-Instruct,html,OVERALL,1718,6290,27.3,34.5,35.4
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,table_partition,18,629,2.9,16.7,18.8
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,table_first_cell,137,629,21.8,21.8,21.8
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,table_last_cell,489,629,77.7,77.7,77.7
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,size_detection,94,629,14.9,53.8,54.9
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,number_of_rows,199,629,31.6,31.6,31.6
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,number_of_columns,566,629,90.0,90.0,90.0
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,cell_lookup,9,629,1.4,12.1,12.1
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,reverse_lookup,49,629,7.8,7.8,7.9
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,column_retrieval,328,629,52.1,52.1,52.3
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,row_retrieval,8,629,1.3,16.3,19.9
prompt2,VLM,Qwen3-VL-8B-Instruct,markdown,OVERALL,1897,6290,30.2,38.0,38.7
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,table_partition,15,629,2.4,15.9,17.6
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,table_first_cell,206,629,32.8,32.8,32.9
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,table_last_cell,490,629,77.9,77.9,78.2
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,size_detection,87,629,13.8,51.4,52.9
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,number_of_rows,227,629,36.1,36.1,36.1
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,number_of_columns,558,629,88.7,88.7,88.7
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,cell_lookup,6,629,1.0,9.1,9.1
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,reverse_lookup,35,629,5.6,5.6,5.7
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,column_retrieval,222,629,35.3,35.3,35.8
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,row_retrieval,10,629,1.6,18.2,23.2
prompt2,VLM,Qwen3-VL-8B-Instruct,latex,OVERALL,1856,6290,29.5,37.1,38.0
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,table_partition,0,629,0.0,2.4,32.3
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,table_first_cell,307,629,48.8,48.8,57.2
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,table_last_cell,229,629,36.4,36.4,38.0
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,size_detection,13,629,2.1,9.0,20.6
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,number_of_rows,170,629,27.0,27.0,27.0
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,number_of_columns,56,629,8.9,8.9,8.9
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,cell_lookup,0,629,0.0,2.1,0.3
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,reverse_lookup,40,629,6.4,6.4,6.7
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,column_retrieval,41,629,6.5,6.5,35.1
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,row_retrieval,0,629,0.0,0.0,14.4
prompt2,VLM,SmolVLM2-2.2B-Instruct,html,OVERALL,856,6290,13.6,14.7,24.1
prompt2,VLM,SmolVLM2-2.2B-Instruct,markdown,table_partition,1,629,0.2,1.1,29.5
prompt2,VLM,SmolVLM2-2.2B-Instruct,markdown,table_first_cell,35,629,5.6,5.6,31.8
prompt2,VLM,SmolVLM2-2.2B-Instruct,markdown,table_last_cell,121,629,19.2,19.2,34.0
prompt2,VLM,SmolVLM2-2.2B-Instruct,markdown,size_detection,3,629,0.5,2.5,12.2
prompt2,VLM,SmolVLM2-2.2B-Instruct,markdown,number_of_rows,17,629,2.7,2.7,2.7
prompt2,VLM,SmolVLM2-2.2B-Instruct,markdown,number_of_columns,4,629,0.6,0.6,0.6
