model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
Qwen2.5-7B-Instruct,html,2.4,6.8,53.9,23.1,52.3,79.7,6.5,12.7,86.8,5.2,32.9
Qwen2.5-7B-Instruct,markdown,1.6,6.4,51.7,15.4,62.6,43.2,3.3,8.9,48.3,3.3,24.5
Qwen2.5-7B-Instruct,latex,3.8,1.6,53.3,3.8,34.2,99.0,2.5,8.6,58.2,5.7,27.1
Qwen3-30B-A3B-Instruct-2507,html,47.5,96.3,65.3,73.3,80.9,90.8,34.5,40.2,83.0,10.0,62.2
Qwen3-30B-A3B-Instruct-2507,markdown,34.3,73.9,54.5,57.4,74.9,45.8,9.9,19.2,63.3,5.9,43.9
Qwen3-30B-A3B-Instruct-2507,latex,25.4,51.8,58.2,45.0,51.7,85.4,4.6,18.9,67.2,5.7,41.4
TAMA-QWen3,html,2.7,10.7,10.3,6.8,14.8,42.6,1.3,2.7,21.5,0.0,11.3
TAMA-QWen3,markdown,0.2,10.5,6.5,0.0,4.0,55.5,0.2,0.3,25.9,0.0,11.1
TableGPT2-7B,html,24.3,94.0,64.7,30.2,49.6,78.5,1.7,26.1,88.9,0.5,45.9
TableGPT2-7B,markdown,5.6,69.2,55.5,39.6,66.3,38.3,1.3,18.3,61.8,0.2,35.6
TableGPT2-7B,latex,17.0,67.9,65.8,15.9,39.4,98.9,0.8,12.2,69.3,2.4,39.0
