model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
InternVL3.5-14B,html,19.6,21.0,76.3,22.3,55.0,89.8,0.0,4.5,52.0,2.7,34.3
InternVL3.5-14B,markdown,20.3,31.0,74.9,32.4,50.7,86.5,0.2,5.1,62.3,3.2,36.7
InternVL3.5-14B,latex,14.0,9.1,78.4,16.4,28.6,83.1,0.5,4.9,69.3,4.8,30.9
InternVL3.5-30B-A3B,html,0.0,4.3,79.0,9.1,39.7,89.2,0.0,3.2,53.3,1.3,27.9
InternVL3.5-30B-A3B,markdown,0.0,8.9,78.1,27.8,55.8,86.2,0.0,5.9,61.8,1.6,32.6
InternVL3.5-30B-A3B,latex,0.0,13.8,81.4,12.2,42.3,83.0,0.0,6.0,63.9,0.0,30.3
Qwen3-VL-30B-A3B-Instruct,html,14.0,13.5,85.9,33.7,44.5,92.1,0.0,13.2,65.5,1.1,36.3
Qwen3-VL-30B-A3B-Instruct,markdown,2.5,3.2,80.9,31.2,41.2,87.6,0.0,15.9,83.3,2.1,34.8
Qwen3-VL-30B-A3B-Instruct,latex,20.2,17.5,84.1,34.0,40.5,87.9,0.0,18.1,79.7,2.1,38.4
Qwen3-VL-8B-Instruct,html,4.1,29.7,80.4,7.6,25.9,90.0,0.2,6.4,27.7,1.1,27.3
Qwen3-VL-8B-Instruct,markdown,2.9,21.8,77.7,14.9,31.6,90.0,1.4,7.8,52.1,1.3,30.2
Qwen3-VL-8B-Instruct,latex,2.4,32.8,77.9,13.8,36.1,88.7,1.0,5.6,35.3,1.6,29.5
SmolVLM2-2.2B-Instruct,html,0.0,48.8,36.4,2.1,27.0,8.9,0.0,6.4,6.5,0.0,13.6
SmolVLM2-2.2B-Instruct,markdown,0.2,5.6,19.2,0.5,2.7,0.6,0.0,2.5,0.2,0.0,3.1
SmolVLM2-2.2B-Instruct,latex,0.0,36.9,36.7,0.2,18.9,8.6,0.0,6.4,4.6,0.0,11.2
gemini-3-flash-preview,html,0.2,0.3,88.2,0.3,1.0,99.8,0.5,21.5,97.0,0.0,30.9
gemini-3-flash-preview,markdown,0.3,0.5,86.8,0.2,1.4,99.5,0.3,30.5,96.5,0.0,31.6
gemini-3-flash-preview,latex,0.2,1.3,87.6,0.0,7.0,99.2,0.6,39.1,96.0,0.0,33.1
gemma_3-12B-IT,html,19.6,48.8,48.0,15.3,30.0,35.1,1.9,13.4,58.3,3.2,27.4
gemma_3-12B-IT,markdown,17.8,44.5,50.1,16.9,33.5,41.8,1.6,13.4,68.4,3.3,29.1
gemma_3-12B-IT,latex,20.8,48.0,50.9,12.4,28.5,38.2,1.1,12.7,66.9,2.9,28.2
gemma_3-27B-IT,html,16.4,39.7,56.1,22.7,39.7,49.6,1.1,26.1,56.9,6.7,31.5
gemma_3-27B-IT,markdown,15.1,30.2,55.3,26.4,43.4,53.1,1.4,29.1,67.9,6.8,32.9
gemma_3-27B-IT,latex,16.9,27.5,54.1,22.9,39.4,50.9,1.0,22.7,61.5,5.1,30.2
gpt-5.2,html,9.1,9.7,94.8,38.0,78.9,98.9,1.4,71.1,76.9,4.8,48.3
gpt-5.2,markdown,8.6,12.4,91.4,79.3,91.4,99.2,1.9,76.8,80.8,5.6,54.7
gpt-5.2,latex,6.7,10.5,88.7,59.3,86.8,96.0,1.6,66.0,76.5,4.6,49.7
llava_1.6-vicuna-13B,html,0.0,53.4,35.1,4.6,19.4,27.8,0.3,6.4,30.2,0.0,17.7
llava_1.6-vicuna-13B,markdown,0.2,57.7,36.6,4.3,19.1,22.6,0.3,7.2,36.9,0.0,18.5
llava_1.6-vicuna-13B,latex,0.0,52.1,35.5,3.8,20.0,20.7,0.3,6.7,34.2,0.0,17.3
llava_1.6-vicuna-7B,html,0.0,20.7,19.6,3.2,18.9,30.7,0.0,4.1,29.9,0.0,12.7
llava_1.6-vicuna-7B,markdown,0.2,19.1,24.8,1.9,17.5,23.8,0.2,5.2,29.3,0.0,12.2
llava_1.6-vicuna-7B,latex,0.3,19.6,23.2,1.3,20.5,23.2,0.2,4.9,30.7,0.0,12.4
ministral_3-14B-Instruct,html,45.6,36.7,63.9,23.1,35.3,46.3,1.7,10.7,63.1,7.6,33.4
ministral_3-14B-Instruct,markdown,37.7,28.6,51.8,38.5,35.1,52.3,3.0,19.9,83.3,6.2,35.6
ministral_3-14B-Instruct,latex,44.2,31.6,55.2,38.2,35.8,35.6,2.2,16.5,79.2,7.8,34.6
table-llava-v1.5-7b-hf,html,0.0,6.5,3.3,0.0,0.0,0.3,0.0,2.7,19.6,0.0,3.2
table-llava-v1.5-7b-hf,markdown,0.0,11.4,10.2,0.0,13.0,14.5,0.0,3.3,20.5,0.0,7.3
table-llava-v1.5-7b-hf,latex,0.0,3.5,3.2,0.0,2.1,2.9,0.0,2.9,18.0,0.0,3.2
