model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
InternVL3.5-14B,html,9.4,19.7,79.7,8.4,50.4,98.4,5.1,15.3,95.4,4.3,38.6
InternVL3.5-14B,markdown,2.4,62.3,73.0,14.1,65.7,85.7,3.3,17.3,81.6,0.0,40.5
InternVL3.5-14B,latex,4.6,11.4,70.7,11.0,44.2,99.4,0.3,13.0,83.0,4.6,34.2
InternVL3.5-30B-A3B,html,0.0,63.6,71.4,0.0,11.1,99.7,0.3,10.3,84.4,0.0,34.1
InternVL3.5-30B-A3B,markdown,0.0,44.8,72.2,0.0,15.4,97.6,0.0,15.1,79.8,0.0,32.5
InternVL3.5-30B-A3B,latex,0.0,11.0,75.2,0.0,10.2,99.4,0.0,12.1,77.9,0.0,28.6
Qwen3-VL-30B-A3B-Instruct,html,43.9,83.6,77.4,67.2,72.7,96.5,4.5,48.5,93.5,5.7,59.3
Qwen3-VL-30B-A3B-Instruct,markdown,24.0,73.9,64.5,60.9,84.7,70.9,1.0,31.0,73.1,1.4,48.6
Qwen3-VL-30B-A3B-Instruct,latex,7.8,10.0,70.0,47.4,64.2,97.8,0.2,24.6,82.5,4.5,40.9
Qwen3-VL-8B-Instruct,html,32.3,95.7,77.6,27.5,69.0,98.3,1.1,47.4,82.4,8.7,54.0
Qwen3-VL-8B-Instruct,markdown,19.6,84.4,64.7,30.8,66.6,92.8,1.3,23.4,70.4,10.3,46.4
Qwen3-VL-8B-Instruct,latex,18.0,80.4,73.6,16.1,36.6,100.0,0.5,19.9,78.2,8.1,43.1
SmolVLM2-2.2B-Instruct,html,0.0,7.4,5.8,0.0,6.8,0.2,0.0,3.2,14.9,0.0,3.8
SmolVLM2-2.2B-Instruct,markdown,0.0,4.8,4.2,0.0,17.9,1.8,0.0,3.7,15.5,0.0,4.8
SmolVLM2-2.2B-Instruct,latex,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.9,10.9,0.0,1.4
gemini-3-flash-preview,html,4.3,28.0,90.1,84.3,98.1,100.0,32.9,94.4,97.0,6.8,63.6
gemini-3-flash-preview,markdown,9.4,10.5,89.5,77.7,96.2,100.0,7.9,87.8,97.1,6.5,58.3
gemini-3-flash-preview,latex,0.2,0.5,90.1,11.1,90.5,100.0,0.2,49.4,97.3,2.2,44.1
gemma_3-12B-IT,html,32.8,93.0,80.4,65.3,77.6,90.1,2.9,21.5,83.9,6.2,55.4
gemma_3-12B-IT,markdown,9.9,60.6,64.9,50.9,73.3,67.4,1.1,13.8,78.5,3.7,42.4
gemma_3-12B-IT,latex,12.4,19.7,75.0,31.3,35.8,98.7,0.5,16.5,76.0,2.7,36.9
gemma_3-27B-IT,html,62.0,96.7,84.4,72.5,73.4,98.1,13.4,53.1,81.6,8.3,64.3
gemma_3-27B-IT,markdown,35.0,86.6,73.3,58.7,83.1,76.9,3.5,34.3,73.0,7.2,53.2
gemma_3-27B-IT,latex,31.3,56.0,78.5,60.9,59.9,99.5,2.2,35.0,82.8,7.8,51.4
gpt-5.2,html,94.0,97.9,95.9,97.6,97.9,100.0,46.3,96.7,96.7,12.1,83.5
gpt-5.2,markdown,36.1,57.2,94.4,84.9,97.3,100.0,2.4,85.9,96.0,7.2,66.1
gpt-5.2,latex,4.3,1.3,93.6,29.9,84.3,100.0,0.5,74.1,93.2,5.9,48.7
llava_1.6-vicuna-13B,html,0.0,14.0,1.5,1.0,12.3,30.7,0.5,2.7,31.2,0.5,9.4
llava_1.6-vicuna-13B,markdown,0.0,10.4,2.4,0.0,8.1,5.5,0.6,2.9,32.5,0.2,6.3
llava_1.6-vicuna-13B,latex,0.0,14.9,3.2,0.3,1.0,1.6,0.6,3.6,34.2,0.0,5.9
llava_1.6-vicuna-7B,html,0.0,20.7,3.5,0.0,0.0,0.0,0.0,3.7,23.7,0.0,5.2
llava_1.6-vicuna-7B,markdown,0.0,15.9,3.7,0.0,1.8,0.3,0.0,2.4,23.5,0.0,4.8
llava_1.6-vicuna-7B,latex,0.0,44.1,3.6,0.0,10.7,8.6,0.0,3.7,28.9,0.0,10.0
ministral_3-14B-Instruct,html,23.2,94.9,55.8,22.4,50.9,99.0,26.4,48.2,91.7,10.3,52.3
ministral_3-14B-Instruct,markdown,2.2,80.1,47.1,6.5,44.7,80.0,11.8,30.5,72.0,6.8,38.2
ministral_3-14B-Instruct,latex,17.3,57.4,62.2,29.9,40.7,99.4,5.9,24.5,74.9,9.7,42.2
table-llava-v1.5-7b-hf,html,0.0,23.7,2.7,0.0,7.0,0.5,0.0,2.3,13.0,0.0,4.9
table-llava-v1.5-7b-hf,markdown,0.0,30.7,4.1,0.0,24.4,3.1,0.0,2.8,10.2,0.0,7.5
table-llava-v1.5-7b-hf,latex,0.0,37.6,6.6,0.0,23.7,9.5,0.0,3.1,11.3,0.0,9.2
