model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
Qwen2.5-7B-Instruct,html,16.7,95.1,57.7,20.5,52.3,80.0,25.4,14.3,75.4,5.7,44.3
Qwen2.5-7B-Instruct,markdown,5.9,55.6,53.7,15.1,62.5,43.7,8.1,9.2,52.6,2.7,30.9
Qwen2.5-7B-Instruct,latex,11.1,44.4,54.8,3.3,34.3,99.0,7.3,5.2,61.4,5.4,32.6
Qwen3-30B-A3B-Instruct-2507,html,45.0,94.8,68.0,72.2,81.1,89.8,44.7,25.0,82.2,4.8,60.7
Qwen3-30B-A3B-Instruct-2507,markdown,23.4,83.5,56.0,57.6,75.5,44.4,28.9,9.2,63.4,1.4,44.3
Qwen3-30B-A3B-Instruct-2507,latex,25.6,91.3,60.9,45.5,51.2,85.4,28.3,9.4,66.9,2.2,46.7
TAMA-QWen3,html,7.2,48.5,4.9,6.8,15.1,44.2,6.4,9.4,86.0,0.6,22.9
TAMA-QWen3,markdown,4.6,38.0,6.0,0.0,3.2,54.2,1.7,3.5,83.6,0.3,19.5
TAMA-QWen3,latex,12.1,35.1,15.9,0.0,0.0,51.0,2.1,2.1,59.3,0.2,17.8
TableGPT2-7B,html,20.8,94.1,68.4,31.0,49.0,78.7,13.5,12.9,66.8,3.2,43.8
TableGPT2-7B,markdown,4.9,67.2,58.0,39.0,66.1,38.0,6.7,9.2,49.0,1.0,33.9
TableGPT2-7B,latex,18.1,89.7,69.0,16.7,38.8,98.7,6.2,7.2,57.4,4.1,40.6
