model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
InternVL3.5-14B,html,35.3,86.8,68.4,22.3,55.3,89.8,15.6,15.9,84.6,4.1,47.8
InternVL3.5-14B,markdown,31.6,83.0,65.3,32.3,51.0,86.6,20.3,23.5,88.9,5.4,48.8
InternVL3.5-14B,latex,38.0,88.6,71.9,16.4,28.6,83.1,18.9,22.7,90.1,6.4,46.5
InternVL3.5-30B-A3B,html,0.0,88.9,79.0,8.7,39.9,88.6,17.8,9.2,53.7,2.2,38.8
InternVL3.5-30B-A3B,markdown,0.0,84.9,76.5,25.1,56.1,85.5,24.5,13.0,64.9,4.5,43.5
InternVL3.5-30B-A3B,latex,0.0,89.2,80.6,12.6,44.5,83.5,21.5,15.9,69.8,4.0,42.1
Qwen3-VL-30B-A3B-Instruct,html,50.2,92.5,85.2,32.9,44.2,91.9,21.1,24.3,71.1,0.2,51.4
Qwen3-VL-30B-A3B-Instruct,markdown,40.1,87.9,78.7,32.0,41.7,87.4,21.6,25.1,88.9,1.1,50.4
Qwen3-VL-30B-A3B-Instruct,latex,45.6,92.7,82.2,34.2,40.2,87.4,22.3,27.3,83.8,4.0,52.0
Qwen3-VL-8B-Instruct,html,23.8,93.3,80.9,8.1,25.6,89.3,27.0,26.6,90.1,1.0,46.6
Qwen3-VL-8B-Instruct,markdown,24.6,87.8,78.4,14.6,31.8,90.1,28.0,34.2,89.8,2.2,48.2
Qwen3-VL-8B-Instruct,latex,20.8,93.2,78.9,14.3,36.1,88.7,32.4,30.0,89.5,3.0,48.7
SmolVLM2-2.2B-Instruct,html,0.2,48.6,31.6,2.1,26.9,8.9,1.1,6.2,35.0,0.0,16.1
SmolVLM2-2.2B-Instruct,markdown,0.0,19.6,17.0,0.5,2.7,0.6,0.5,6.2,5.6,0.0,5.3
SmolVLM2-2.2B-Instruct,latex,0.0,49.4,34.5,0.2,18.9,8.4,1.1,7.0,30.4,0.0,15.0
gemini-3-flash-preview,html,91.7,97.0,88.7,0.2,0.5,94.9,0.6,14.8,94.4,0.3,48.3
gemini-3-flash-preview,markdown,87.9,94.8,87.7,0.2,1.9,99.7,1.3,14.9,97.3,0.3,48.6
gemini-3-flash-preview,latex,86.1,94.8,87.4,0.0,6.5,99.2,1.6,15.1,95.7,0.8,48.7
gemma_3-12B-IT,html,10.3,37.5,45.8,13.7,30.0,35.0,10.3,14.5,56.3,2.9,25.6
gemma_3-12B-IT,markdown,10.7,40.1,46.7,18.1,32.8,42.0,14.1,15.4,66.8,2.4,28.9
gemma_3-12B-IT,latex,13.8,41.2,48.2,13.5,30.2,37.2,11.0,15.1,62.8,3.0,27.6
gemma_3-27B-IT,html,29.6,63.9,52.3,21.0,39.9,50.1,22.6,32.6,70.9,10.5,39.3
gemma_3-27B-IT,markdown,30.2,59.0,51.5,27.3,44.4,55.8,24.2,33.7,74.2,11.3,41.2
gemma_3-27B-IT,latex,28.3,59.6,52.0,23.5,39.7,50.2,22.7,32.6,70.3,9.1,38.8
gpt-5.2,html,93.0,97.1,94.9,32.9,78.4,98.1,2.7,15.7,95.2,1.7,61.0
gpt-5.2,markdown,87.4,93.6,91.6,80.3,91.3,98.9,3.0,20.8,96.0,5.1,66.8
gpt-5.2,latex,85.4,93.3,88.1,57.7,85.7,96.5,3.5,19.2,93.5,2.5,62.5
llava_1.6-vicuna-13B,html,0.2,31.5,27.5,4.5,19.4,28.0,1.4,6.4,37.5,0.0,15.6
llava_1.6-vicuna-13B,markdown,0.5,35.6,31.6,4.3,19.1,22.6,2.1,6.2,36.6,0.0,15.9
llava_1.6-vicuna-13B,latex,0.2,32.9,29.6,3.8,20.0,20.5,2.2,5.6,36.7,0.2,15.2
llava_1.6-vicuna-7B,html,0.0,14.3,14.5,3.2,18.9,30.2,1.7,1.3,29.6,0.0,11.4
llava_1.6-vicuna-7B,markdown,0.2,14.1,18.1,1.9,17.6,23.8,1.6,3.3,29.9,0.0,11.1
llava_1.6-vicuna-7B,latex,0.3,13.8,18.1,1.3,20.5,23.5,1.9,2.9,28.3,0.0,11.1
ministral_3-14B-Instruct,html,36.1,40.5,61.5,22.7,35.1,46.4,26.6,39.6,79.7,10.7,39.9
ministral_3-14B-Instruct,markdown,30.7,34.3,49.4,38.5,35.6,52.5,26.6,38.8,74.2,10.7,39.1
ministral_3-14B-Instruct,latex,36.1,41.8,53.3,38.2,35.6,36.1,26.9,39.4,72.7,11.1,39.1
table-llava-v1.5-7b-hf,html,0.0,6.5,4.3,0.0,0.0,0.3,0.0,1.6,1.0,0.0,1.4
table-llava-v1.5-7b-hf,markdown,0.0,6.7,9.2,0.0,13.0,14.5,0.0,2.7,9.2,0.0,5.5
table-llava-v1.5-7b-hf,latex,0.0,2.2,4.3,0.0,2.1,2.9,0.0,1.7,3.7,0.0,1.7
